stadium,date,time,home,guest
Dumbarton Football Stadium,2021-02-04,06:01:28,Bangladesh,Rwanda
Dumbarton Football Stadium,2021-02-13,18:43:30,Libya,Cameroon
Dumbarton Football Stadium,2020-12-27,06:38:04,Peru,Malaysia
Dumbarton Football Stadium,2020-12-14,23:53:08,Moldova,Colombia
Dumbarton Football Stadium,2021-04-15,19:59:31,Bolivia,Liberia
Dumbarton Football Stadium,2021-03-31,01:42:55,United Kingdom,Iran
Dumbarton Football Stadium,2021-04-13,17:21:48,Nigeria,Latvia
Park Hall,2021-01-15,21:55:52,São Tomé and Príncipe,Croatia
Park Hall,2020-12-03,03:25:06,Spain,Laos
Park Hall,2021-05-14,19:51:18,Belgium,Saint Vincent and the Grenadines
Park Hall,2020-12-23,20:06:56,Guernsey,Peru
Haradski Stadium (Marjina Horka),2021-04-02,17:52:09,North Korea,Belarus
Haradski Stadium (Marjina Horka),2021-04-10,13:04:59,Germany,South Africa
Haradski Stadium (Marjina Horka),2021-03-14,07:46:44,Belarus,Paraguay
Haradski Stadium (Marjina Horka),2020-11-30,02:41:15,Liberia,North Macedonia
Haradski Stadium (Marjina Horka),2021-02-22,01:27:09,Romania,Bahrain
Mahakam Stadium,2021-05-12,09:46:21,Papua New Guinea,Ecuador
Mahakam Stadium,2021-01-04,09:21:04,Burundi,Libya
Mahakam Stadium,2021-04-06,02:39:58,Qatar,Bulgaria
Mahakam Stadium,2021-03-12,18:32:44,Czech Republic,Uruguay
Mahakam Stadium,2021-03-07,01:11:05,Italy,Libya
Mahakam Stadium,2021-02-05,15:11:16,South Africa,North Macedonia
Mahakam Stadium,2021-01-18,17:14:11,Hungary,Chile
Hunky Dorys Park,2020-12-23,08:46:59,Brazil,Liberia
Hunky Dorys Park,2021-02-26,13:15:02,Republic of Abkhazia,Sudan
Hunky Dorys Park,2021-02-28,02:51:15,Poland,Solomon Islands
Hunky Dorys Park,2021-04-21,17:35:19,Uzbekistan,Fiji
Hunky Dorys Park,2021-05-19,02:38:06,Nepal,United States of America
Hunky Dorys Park,2021-01-03,14:36:50,Mauritania,Costa Rica
Hunky Dorys Park,2021-01-08,19:21:29,Paraguay,North Macedonia
Hunky Dorys Park,2020-12-26,19:24:58,Oman,Eritrea
Hunky Dorys Park,2021-01-12,02:33:02,Iraq,United States of America
Viimsi Stadium,2021-04-16,05:51:09,Bosnia and Herzegovina,Syria
Viimsi Stadium,2021-05-16,14:31:30,Kazakhstan,Israel
Viimsi Stadium,2021-01-21,10:48:32,Liberia,Guyana
Viimsi Stadium,2021-03-24,16:52:49,Malawi,Liberia
Viimsi Stadium,2021-02-12,12:04:23,Spain,Kuwait
Viimsi Stadium,2021-05-01,17:04:20,Trinidad and Tobago,Papua New Guinea
Nuuk Stadium,2021-05-14,00:21:07,Cambodia,Kazakhstan
Nuuk Stadium,2021-03-02,01:11:05,Turkey,State of Palestine
Nuuk Stadium,2021-04-03,04:39:02,Germany,Malawi
Nuuk Stadium,2021-04-28,11:52:33,Venezuela,Ghana
Nuuk Stadium,2020-12-15,16:11:50,Czech Republic,Israel
Nuuk Stadium,2021-04-05,13:02:10,Hungary,Tajikistan
Nuuk Stadium,2020-11-22,11:25:29,Myanmar,Saint Lucia
Hibernians Stadium,2021-01-16,03:18:42,Ethiopia,Bangladesh
Hibernians Stadium,2021-03-22,06:43:02,Grenada,Panama
Hibernians Stadium,2021-01-07,22:03:58,Lithuania,Liberia
Hibernians Stadium,2021-02-02,08:29:20,Mali,Tanzania
Hibernians Stadium,2020-12-28,00:16:51,Iraq,Estonia
Hibernians Stadium,2021-04-13,07:57:41,Israel,Somalia
EXTRA Arena,2021-05-15,18:31:30,Japan,Burkina Faso
EXTRA Arena,2021-05-08,20:52:46,Hungary,Canada
EXTRA Arena,2021-03-22,03:29:38,Cambodia,The Gambia
Gargždai Stadium,2021-04-26,22:55:03,New Zealand,Mexico
Gargždai Stadium,2021-05-03,03:02:58,Somalia,Argentina
Gargždai Stadium,2021-03-23,10:42:41,Brunei,Malawi
Stadio Romeo Malservisi-Mario Matteini,2021-02-18,18:46:11,Ghana,Lebanon
Stadio Romeo Malservisi-Mario Matteini,2021-05-04,03:27:22,Belarus,Papua New Guinea
Stadio Romeo Malservisi-Mario Matteini,2021-02-24,09:09:18,Luxembourg,Cuba
Stadio Romeo Malservisi-Mario Matteini,2021-03-31,08:44:31,Poland,Egypt
Stadio Romeo Malservisi-Mario Matteini,2021-01-02,20:18:13,Tanzania,Fiji
